,TEER Category,NOC Code,Class Title
146,2,12103,Conference and event planners
147,2,12104,Employment insurance and revenue officers
148,2,12110,"Court reporters, medical transcriptionists and related occupations"
149,2,12111,Health information management occupations
150,2,12112,Records management technicians
151,2,12113,Statistical officers and related research support occupations
152,2,12200,Accounting technicians and bookkeepers
153,2,12201,Insurance adjusters and claims examiners
154,2,12202,Insurance underwriters
155,2,12203,"Assessors, business valuators and appraisers"
156,2,22100,Chemical technologists and technicians
157,2,22101,Geological and mineral technologists and technicians
158,2,22110,Biological technologists and technicians
159,2,22111,Agricultural and fish products inspectors
160,2,22112,Forestry technologists and technicians
161,2,22113,Conservation and fishery officers
162,2,22114,Landscape and horticulture technicians and specialists
163,2,22210,Architectural technologists and technicians
164,2,22211,Industrial designers
165,2,22212,Drafting technologists and technicians
166,2,22213,Land survey technologists and technicians
167,2,22214,Technical occupations in geomatics and meteorology
168,2,22220,Computer network and web technicians
169,2,22221,User support technicians
170,2,22222,Information systems testing technicians
171,2,22230,Non-destructive testers and inspectors
172,2,22231,Engineering inspectors and regulatory officers
173,2,22232,Occupational health and safety specialists
174,2,22233,Construction inspectors
175,2,22300,Civil engineering technologists and technicians
176,2,22301,Mechanical engineering technologists and technicians
177,2,22302,Industrial engineering and manufacturing technologists and technicians
178,2,22303,Construction estimators
179,2,22310,Electrical and electronics engineering technologists and technicians
180,2,22311,Electronic service technicians (household and business equipment)
181,2,22312,Industrial instrument technicians and mechanics
182,2,22313,"Aircraft instrument, electrical and avionics mechanics, technicians and inspectors"
183,2,32100,Opticians
184,2,32101,Licensed practical nurses
185,2,32102,Paramedical occupations
186,2,32103,"Respiratory therapists, clinical perfusionists and cardiopulmonary technologists"
187,2,32104,Animal health technologists and veterinary technicians
188,2,32109,Other technical occupations in therapy and assessment
189,2,32110,Denturists
190,2,32111,Dental hygienists and dental therapists
191,2,32112,Dental technologists and technicians
192,2,32120,Medical laboratory technologists
193,2,32121,Medical radiation technologists
194,2,32122,Medical sonographers
195,2,32123,Cardiology technologists and electrophysiological diagnostic technologists
196,2,32124,Pharmacy technicians
197,2,32129,Other medical technologists and technicians
198,2,32200,Traditional Chinese medicine practitioners and acupuncturists
199,2,32201,Massage therapists
200,2,32209,Other practitioners of natural healing
201,2,42100,Police officers (except commissioned)
202,2,42101,Firefighters
203,2,42102,Specialized members of the Canadian Armed Forces
204,2,42200,Paralegals and related occupations
205,2,42201,Social and community service workers
206,2,42202,Early childhood educators and assistants
207,2,42203,Instructors of persons with disabilities
208,2,42204,Religion workers
209,2,52100,Library and public archive technicians
210,2,52110,Film and video camera operators
211,2,52111,Graphic arts technicians
212,2,52112,Broadcast technicians
213,2,52113,Audio and video recording technicians
214,2,52114,Announcers and other broadcasters
215,2,52119,"Other technical and coordinating occupations in motion pictures, broadcasting and the performing arts"
216,2,52120,Graphic designers and illustrators
217,2,52121,Interior designers and interior decorators
218,2,62010,Retail sales supervisors
219,2,62020,Food service supervisors
220,2,62021,Executive housekeepers
221,2,62022,"Accommodation, travel, tourism and related services supervisors"
222,2,62023,Customer and information services supervisors
223,2,62024,Cleaning supervisors
224,2,62029,Other services supervisors
225,2,62100,Technical sales specialists - wholesale trade
226,2,62101,Retail and wholesale buyers
227,2,62200,Chefs
228,2,62201,Funeral directors and embalmers
229,2,62202,"Jewellers, jewellery and watch repairers and related occupations"
230,2,72010,"Contractors and supervisors, machining, metal forming, shaping and erecting trades and related occupations"
231,2,72011,"Contractors and supervisors, electrical trades and telecommunications occupations"
232,2,72012,"Contractors and supervisors, pipefitting trades"
233,2,72013,"Contractors and supervisors, carpentry trades"
234,2,72014,"Contractors and supervisors, other construction trades, installers, repairers and servicers"
235,2,72020,"Contractors and supervisors, mechanic trades"
236,2,72021,"Contractors and supervisors, heavy equipment operator crews"
237,2,72022,"Supervisors, printing and related occupations"
238,2,72023,"Supervisors, railway transport operations"
239,2,72024,"Supervisors, motor transport and other ground transit operators"
240,2,72025,"Supervisors, mail and message distribution occupations"
241,2,72100,Machinists and machining and tooling inspectors
242,2,72101,Tool and die makers
243,2,72102,Sheet metal workers
244,2,72103,Boilermakers
245,2,72104,Structural metal and platework fabricators and fitters
246,2,72105,Ironworkers
247,2,72106,Welders and related machine operators
248,2,72200,Electricians (except industrial and power system)
249,2,72201,Industrial electricians
250,2,72202,Power system electricians
251,2,72203,Electrical power line and cable workers
252,2,72204,Telecommunications line and cable installers and repairers
253,2,72205,Telecommunications equipment installation and cable television service technicians
254,2,72300,Plumbers
255,2,72301,"Steamfitters, pipefitters and sprinkler system installers"
256,2,72302,Gas fitters
257,2,72310,Carpenters
258,2,72311,Cabinetmakers
259,2,72320,Bricklayers
260,2,72321,Insulators
261,2,72400,Construction millwrights and industrial mechanics
262,2,72401,Heavy-duty equipment mechanics
263,2,72402,"Heating, refrigeration and air conditioning mechanics"
264,2,72403,Railway carmen/women
265,2,72404,Aircraft mechanics and aircraft inspectors
266,2,72405,Machine fitters
267,2,72406,Elevator constructors and mechanics
268,2,72410,"Automotive service technicians, truck and bus mechanics and mechanical repairers"
269,2,72411,"Auto body collision, refinishing and glass technicians and damage repair estimators"
270,2,72420,Oil and solid fuel heating mechanics
271,2,72421,Appliance servicers and repairers
272,2,72422,Electrical mechanics
273,2,72423,"Motorcycle, all-terrain vehicle and other related mechanics"
274,2,72429,Other small engine and small equipment repairers
275,2,72500,Crane operators
276,2,72501,Water well drillers
277,2,72600,"Air pilots, flight engineers and flying instructors"
278,2,72601,Air traffic controllers and related occupations
279,2,72602,"Deck officers, water transport"
280,2,72603,"Engineer officers, water transport"
281,2,72604,Railway traffic controllers and marine traffic regulators
282,2,72999,Other technical trades and related occupations
283,2,82010,"Supervisors, logging and forestry"
284,2,82020,"Supervisors, mining and quarrying"
285,2,82021,"Contractors and supervisors, oil and gas drilling and services"
286,2,82030,Agricultural service contractors and farm supervisors
287,2,82031,"Contractors and supervisors, landscaping, grounds maintenance and horticulture services"
288,2,92010,"Supervisors, mineral and metal processing"
289,2,92011,"Supervisors, petroleum, gas and chemical processing and utilities"
290,2,92012,"Supervisors, food and beverage processing"
291,2,92013,"Supervisors, plastic and rubber products manufacturing"
292,2,92014,"Supervisors, forest products processing"
293,2,92015,"Supervisors, textile, fabric, fur and leather products processing and manufacturing"
294,2,92020,"Supervisors, motor vehicle assembling"
295,2,92021,"Supervisors, electronics and electrical products manufacturing"
296,2,92022,"Supervisors, furniture and fixtures manufacturing"
297,2,92023,"Supervisors, other mechanical and metal products manufacturing"
298,2,92024,"Supervisors, other products manufacturing and assembly"
299,2,92100,Power engineers and power systems operators
300,2,92101,Water and waste treatment plant operators
301,3,13100,Administrative officers
302,3,13101,Property administrators
303,3,13102,Payroll administrators
304,3,13110,Administrative assistants
305,3,13111,Legal administrative assistants
306,3,13112,Medical administrative assistants
307,3,13200,"Customs, ship and other brokers"
308,3,13201,Production and transportation logistics coordinators
309,3,33100,Dental assistants and dental laboratory assistants
310,3,33101,Medical laboratory assistants and related technical occupations
311,3,33102,"Nurse aides, orderlies and patient service associates"
312,3,33103,Pharmacy technical assistants and pharmacy assistants
313,3,33109,Other assisting occupations in support of health services
314,3,43100,Elementary and secondary school teacher assistants
315,3,43109,Other instructors
316,3,43200,Sheriffs and bailiffs
317,3,43201,Correctional service officers
318,3,43202,By-law enforcement and other regulatory officers
319,3,43203,"Border services, customs, and immigration officers"
320,3,43204,Operations members of the Canadian Armed Forces
321,3,53100,"Registrars, restorers, interpreters and other occupations related to museum and art galleries"
322,3,53110,Photographers
323,3,53111,"Motion pictures, broadcasting, photography and performing arts assistants and operators"
324,3,53120,Dancers
325,3,53121,"Actors, comedians and circus performers"
326,3,53122,"Painters, sculptors and other visual artists"
327,3,53123,"Theatre, fashion, exhibit and other creative designers"
328,3,53124,Artisans and craftspersons
329,3,53125,"Patternmakers - textile, leather and fur products"
330,3,53200,Athletes
331,3,53201,Coaches
332,3,53202,Sports officials and referees
333,3,63100,Insurance agents and brokers
334,3,63101,Real estate agents and salespersons
335,3,63102,Financial sales representatives
336,3,63200,Cooks
337,3,63201,Butchers - retail and wholesale
338,3,63202,Bakers
339,3,63210,Hairstylists and barbers
340,3,63211,"Estheticians, electrologists and related occupations"
341,3,63220,Shoe repairers and shoemakers
342,3,63221,Upholsterers
343,3,73100,Concrete finishers
344,3,73101,Tilesetters
345,3,73102,"Plasterers, drywall installers and finishers and lathers"
346,3,73110,Roofers and shinglers
347,3,73111,Glaziers
348,3,73112,Painters and decorators (except interior decorators)
349,3,73113,Floor covering installers
350,3,73200,Residential and commercial installers and servicers
351,3,73201,General building maintenance workers and building superintendents
352,3,73202,Pest controllers and fumigators
353,3,73209,Other repairers and servicers
354,3,73300,Transport truck drivers
355,3,73301,"Bus drivers, subway operators and other transit operators"
356,3,73310,Railway and yard locomotive engineers
357,3,73311,Railway conductors and brakemen/women
358,3,73400,Heavy equipment operators
359,3,73401,Printing press operators
360,3,73402,"Drillers and blasters - surface mining, quarrying and construction"
361,3,83100,Underground production and development miners
362,3,83101,"Oil and gas well drillers, servicers, testers and related workers"
363,3,83110,Logging machinery operators
364,3,83120,Fishing masters and officers
365,3,83121,Fishermen/women
366,3,93100,"Central control and process operators, mineral and metal processing"
367,3,93101,"Central control and process operators, petroleum, gas and chemical processing"
368,3,93102,"Pulping, papermaking and coating control operators"
369,3,93200,Aircraft assemblers and aircraft assembly inspectors
370,4,14100,General office support workers
371,4,14101,Receptionists
372,4,14102,Personnel clerks
373,4,14103,Court clerks and related court services occupations
374,4,14110,Survey interviewers and statistical clerks
375,4,14111,Data entry clerks
376,4,14112,Desktop publishing operators and related occupations
377,4,14200,Accounting and related clerks
378,4,14201,"Banking, insurance and other financial clerks"
379,4,14202,Collection clerks
380,4,14300,Library assistants and clerks
381,4,14301,"Correspondence, publication and regulatory clerks"
382,4,14400,Shippers and receivers
383,4,14401,Storekeepers and partspersons
384,4,14402,Production logistics workers
385,4,14403,Purchasing and inventory control workers
386,4,14404,Dispatchers
387,4,14405,Transportation route and crew schedulers
388,4,44100,Home child care providers
389,4,44101,"Home support workers, caregivers and related occupations"
390,4,44200,Primary combat members of the Canadian Armed Forces
391,4,54100,"Program leaders and instructors in recreation, sport and fitness"
392,4,64100,Retail salespersons and visual merchandisers
393,4,64101,Sales and account representatives - wholesale trade (non-technical)
394,4,64200,"Tailors, dressmakers, furriers and milliners"
395,4,64201,"Image, social and other personal consultants"
396,4,64300,Maîtres d'hôtel and hosts/hostesses
397,4,64301,Bartenders
398,4,64310,Travel counsellors
399,4,64311,Pursers and flight attendants
400,4,64312,Airline ticket and service agents
401,4,64313,"Ground and water transport ticket agents, cargo service representatives and related clerks"
402,4,64314,Hotel front desk clerks
403,4,64320,Tour and travel guides
404,4,64321,Casino workers
405,4,64322,Outdoor sport and recreational guides
406,4,64400,Customer services representatives - financial institutions
407,4,64401,Postal services representatives
408,4,64409,Other customer and information services representatives
409,4,64410,Security guards and related security service occupations
410,4,74100,Mail and parcel sorters and related occupations
411,4,74101,Letter carriers
412,4,74102,Couriers and messengers
413,4,74200,Railway yard and track maintenance workers
414,4,74201,Water transport deck and engine room crew
415,4,74202,Air transport ramp attendants
416,4,74203,Automotive and heavy truck and equipment parts installers and servicers
417,4,74204,Utility maintenance workers
418,4,74205,Public works maintenance equipment operators and related workers
419,4,84100,Underground mine service and support workers
420,4,84101,Oil and gas well drilling and related workers and services operators
421,4,84110,Chain saw and skidder operators
422,4,84111,Silviculture and forestry workers
423,4,84120,Specialized livestock workers and farm machinery operators
424,4,84121,Fishing vessel deckhands
425,4,94100,"Machine operators, mineral and metal processing"
426,4,94101,Foundry workers
427,4,94102,Glass forming and finishing machine operators and glass cutters
428,4,94103,"Concrete, clay and stone forming operators"
429,4,94104,"Inspectors and testers, mineral and metal processing"
430,4,94105,Metalworking and forging machine operators
431,4,94106,Machining tool operators
432,4,94107,Machine operators of other metal products
433,4,94110,Chemical plant machine operators
434,4,94111,Plastics processing machine operators
435,4,94112,Rubber processing machine operators and related workers
436,4,94120,Sawmill machine operators
437,4,94121,"Pulp mill, papermaking and finishing machine operators"
438,4,94122,Paper converting machine operators
439,4,94123,Lumber graders and other wood processing inspectors and graders
440,4,94124,Woodworking machine operators
441,4,94129,Other wood processing machine operators
442,4,94130,"Textile fibre and yarn, hide and pelt processing machine operators and workers"
443,4,94131,"Weavers, knitters and other fabric making occupations"
444,4,94132,Industrial sewing machine operators
445,4,94133,"Inspectors and graders, textile, fabric, fur and leather products manufacturing"
446,4,94140,"Process control and machine operators, food and beverage processing"
447,4,94141,"Industrial butchers and meat cutters, poultry preparers and related workers"
448,4,94142,Fish and seafood plant workers
449,4,94143,"Testers and graders, food and beverage processing"
450,4,94150,Plateless printing equipment operators
451,4,94151,"Camera, platemaking and other prepress occupations"
452,4,94152,Binding and finishing machine operators
453,4,94153,Photographic and film processors
454,4,94200,"Motor vehicle assemblers, inspectors and testers"
455,4,94201,"Electronics assemblers, fabricators, inspectors and testers"
456,4,94202,"Assemblers and inspectors, electrical appliance, apparatus and equipment manufacturing"
457,4,94203,"Assemblers, fabricators and inspectors, industrial electrical motors and transformers"
458,4,94204,Mechanical assemblers and inspectors
459,4,94205,"Machine operators and inspectors, electrical apparatus manufacturing"
460,4,94210,"Furniture and fixture assemblers, finishers, refinishers and inspectors"
461,4,94211,Assemblers and inspectors of other wood products
462,4,94212,"Plastic products assemblers, finishers and inspectors"
463,4,94213,"Industrial painters, coaters and metal finishing process operators"
464,4,94219,"Other products assemblers, finishers and inspectors"
465,5,45100,"Student monitors, crossing guards and related occupations"
466,5,55109,Other performers
467,5,65100,Cashiers
468,5,65101,Service station attendants
469,5,65102,"Store shelf stockers, clerks and order fillers"
470,5,65109,Other sales related occupations
471,5,65200,Food and beverage servers
472,5,65201,"Food counter attendants, kitchen helpers and related support occupations"
473,5,65202,Meat cutters and fishmongers - retail and wholesale
474,5,65210,"Support occupations in accommodation, travel and facilities set-up services"
475,5,65211,"Operators and attendants in amusement, recreation and sport"
476,5,65220,Pet groomers and animal care workers
477,5,65229,Other support occupations in personal services
478,5,65310,Light duty cleaners
479,5,65311,Specialized cleaners
480,5,65312,"Janitors, caretakers and heavy-duty cleaners"
481,5,65320,"Dry cleaning, laundry and related occupations"
482,5,65329,Other service support occupations
483,5,75100,Longshore workers
484,5,75101,Material handlers
485,5,75110,Construction trades helpers and labourers
486,5,75119,Other trades helpers and labourers
487,5,75200,Taxi and limousine drivers and chauffeurs
488,5,75201,Delivery service drivers and door-to-door distributors
489,5,75210,Boat and cable ferry operators and related occupations
490,5,75211,Railway and motor transport labourers
491,5,75212,Public works and maintenance labourers
492,5,85100,Livestock labourers
493,5,85101,Harvesting labourers
494,5,85102,Aquaculture and marine harvest labourers
495,5,85103,Nursery and greenhouse labourers
496,5,85104,Trappers and hunters
497,5,85110,Mine labourers
498,5,85111,"Oil and gas drilling, servicing and related labourers"
499,5,85120,Logging and forestry labourers
500,5,85121,Landscaping and grounds maintenance labourers
501,5,95100,Labourers in mineral and metal processing
502,5,95101,Labourers in metal fabrication
503,5,95102,Labourers in chemical products processing and utilities
504,5,95103,"Labourers in wood, pulp and paper processing"
505,5,95104,Labourers in rubber and plastic products manufacturing
506,5,95105,Labourers in textile processing and cutting
507,5,95106,Labourers in food and beverage processing
508,5,95107,Labourers in fish and seafood processing
509,5,95109,"Other labourers in processing, manufacturing and utilities"
